                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.4466,                 1.0285,                 0.9518,                0.91769,                0.92999,                0.98885,                0.51478,                 1.4186,                0.82892,                0.90935,              0.0012872,              0.0012872,              0.0012872
                     92,                 1.3502,                0.97532,                0.90811,                0.90962,                0.83333,                 0.9769,                0.49571,                 1.4702,                 0.8282,                0.92117,              0.0012793,              0.0012793,              0.0012793
                     93,                 1.3454,                  1.061,                  0.885,                0.84709,                      1,                0.98269,                0.50836,                 1.5356,                0.83346,                0.92834,              0.0012714,              0.0012714,              0.0012714
                     94,                 1.5724,                0.98592,                0.96237,                 0.9227,                0.99508,                0.98269,                0.52627,                 1.5392,                0.77147,                0.92614,              0.0012634,              0.0012634,              0.0012634
                     95,                 1.3011,                 0.9434,                0.90801,                0.97779,                      1,                  0.995,                0.55689,                 1.5756,                0.73682,                0.92338,              0.0012555,              0.0012555,              0.0012555
                     96,                 1.4182,                0.87963,                 1.0045,                0.97572,                      1,                  0.995,                0.59594,                 1.5008,                0.69263,                0.91535,              0.0012476,              0.0012476,              0.0012476
                     97,                 1.2643,                0.99296,                0.96519,                      1,                0.92222,                  0.995,                0.57477,                  1.511,                 0.7668,                0.92487,              0.0012397,              0.0012397,              0.0012397
                     98,                 1.1985,                 0.8408,                 0.8745,                0.89558,                      1,                0.98269,                0.56447,                 1.5252,                0.76231,                0.93877,              0.0012318,              0.0012318,              0.0012318
                     99,                 1.4421,                 0.9215,                0.97008,                0.84789,                      1,                0.95929,                0.52257,                  1.532,                0.71471,                0.94261,              0.0012238,              0.0012238,              0.0012238
                    100,                 1.5413,                0.97723,                0.94761,                0.84742,                      1,                0.96396,                0.51569,                 1.5616,                0.71647,                0.96246,              0.0012159,              0.0012159,              0.0012159
                    101,                  1.485,                0.95195,                0.95604,                0.91307,                      1,                0.98269,                0.51062,                 1.6367,                0.69525,                0.98491,               0.001208,               0.001208,               0.001208
                    102,                 1.5917,                  1.006,                0.94354,                0.91247,                      1,                0.98269,                0.50008,                 1.6417,                0.70494,                0.97712,              0.0012001,              0.0012001,              0.0012001
                    103,                  1.486,                0.91792,                0.97815,                0.97879,                      1,                  0.995,                0.51763,                 1.5833,                 0.7362,                0.96399,              0.0011922,              0.0011922,              0.0011922
                    104,                 1.4487,                0.86115,                0.98268,                0.90251,                      1,                0.96962,                0.48919,                 1.6165,                0.73525,                0.96197,              0.0011842,              0.0011842,              0.0011842
                    105,                 1.5476,                0.94016,                0.99742,                 0.9722,                      1,                  0.995,                0.53241,                 1.5247,                0.69213,                0.93119,              0.0011763,              0.0011763,              0.0011763
                    106,                 1.3209,                0.92051,                0.98756,                0.83986,                      1,                0.96396,                0.58105,                 1.4201,                0.69378,                0.90762,              0.0011684,              0.0011684,              0.0011684
                    107,                 1.2748,                0.89181,                0.92748,                0.96265,                      1,                  0.995,                0.61652,                 1.3753,                0.69715,                0.89952,              0.0011605,              0.0011605,              0.0011605
                    108,                 1.4196,                0.85934,                0.95394,                0.95842,                      1,                  0.995,                0.61122,                 1.3937,                0.68252,                0.90027,              0.0011526,              0.0011526,              0.0011526
                    109,                 1.3941,                0.87288,                0.90182,                0.96248,                      1,                  0.995,                0.56419,                 1.3997,                0.66476,                0.90094,              0.0011446,              0.0011446,              0.0011446
                    110,                 1.7272,                0.97542,                 1.0276,                0.91217,                      1,                0.98885,                0.55597,                 1.4618,                0.69503,                0.90916,              0.0011367,              0.0011367,              0.0011367
                    111,                 1.2872,                0.84546,                0.91307,                0.91331,                      1,                0.98885,                0.53139,                 1.4721,                0.69678,                0.90872,              0.0011288,              0.0011288,              0.0011288
                    112,                 1.3721,                0.92595,                0.97044,                 0.9075,                      1,                0.98269,                0.58872,                 1.4697,                0.69535,                 0.9064,              0.0011209,              0.0011209,              0.0011209
                    113,                 1.2991,                0.85613,                0.94573,                0.90598,                      1,                0.98269,                0.60469,                  1.457,                0.67472,                0.91248,               0.001113,               0.001113,               0.001113
                    114,                 1.3053,                0.81109,                0.97857,                0.90988,                      1,                0.98269,                0.58353,                  1.452,                0.65978,                0.91437,               0.001105,               0.001105,               0.001105
                    115,                 1.4375,                0.97717,                0.95384,                0.91304,                      1,                0.98269,                0.58807,                  1.417,                0.65545,                0.90531,              0.0010971,              0.0010971,              0.0010971
                    116,                 1.4661,                0.89682,                0.90422,                 0.9148,                      1,                0.98885,                0.59428,                 1.4194,                0.65134,                0.90403,              0.0010892,              0.0010892,              0.0010892
                    117,                 1.3571,                0.80177,                0.93384,                0.92179,                      1,                  0.995,                0.59057,                 1.4351,                0.69876,                0.90302,              0.0010813,              0.0010813,              0.0010813
                    118,                 1.4364,                 0.8456,                0.92351,                0.94064,                      1,                  0.995,                0.56831,                 1.4548,                0.73211,                0.90192,              0.0010734,              0.0010734,              0.0010734
                    119,                 1.4353,                0.85477,                0.89033,                0.96124,                      1,                  0.995,                0.59279,                 1.4191,                0.75006,                0.90035,              0.0010654,              0.0010654,              0.0010654
                    120,                 1.3529,                0.86087,                0.93795,                0.95662,                      1,                  0.995,                0.59028,                  1.395,                0.71923,                 0.8997,              0.0010575,              0.0010575,              0.0010575
                    121,                 1.5538,                0.98936,                0.99868,                0.96023,                      1,                  0.995,                0.58066,                 1.3477,                0.68855,                0.89862,              0.0010496,              0.0010496,              0.0010496
                    122,                 1.3437,                0.77414,                0.94534,                0.98151,                      1,                  0.995,                 0.6338,                   1.29,                 0.6891,                0.89296,              0.0010417,              0.0010417,              0.0010417
                    123,                 1.3757,                0.80252,                0.92043,                0.98823,                      1,                  0.995,                0.62994,                 1.2582,                0.66526,                0.88427,              0.0010338,              0.0010338,              0.0010338
                    124,                 1.2452,                0.82536,                0.93305,                0.98285,                      1,                  0.995,                0.64033,                 1.2396,                0.64395,                0.87888,              0.0010258,              0.0010258,              0.0010258
                    125,                  1.233,                0.77959,                0.91618,                 0.9882,                      1,                  0.995,                0.59281,                 1.2814,                0.60834,                0.87958,              0.0010179,              0.0010179,              0.0010179
                    126,                 1.3928,                0.85902,                0.90759,                0.91169,                      1,                0.96346,                0.57926,                 1.3463,                0.64429,                0.89611,                0.00101,                0.00101,                0.00101
                    127,                 1.6058,                0.91714,                0.94566,                 0.9121,                      1,                0.96346,                0.60494,                  1.331,                0.64946,                0.89747,              0.0010021,              0.0010021,              0.0010021
                    128,                 1.2664,                0.77746,                0.94103,                0.98535,                      1,                  0.995,                0.62357,                 1.3182,                0.64711,                0.88944,             0.00099416,             0.00099416,             0.00099416
                    129,                 1.3239,                0.80966,                0.88171,                0.99069,                      1,                  0.995,                0.60734,                 1.3269,                0.63958,                0.89124,             0.00098624,             0.00098624,             0.00098624
                    130,                 1.2901,                  0.873,                0.89119,                 0.9919,                      1,                  0.995,                0.57257,                 1.4022,                 0.6834,                0.90433,             0.00097832,             0.00097832,             0.00097832
                    131,                 1.3122,                0.85713,                0.92205,                0.99346,                      1,                  0.995,                0.59613,                  1.385,                0.65383,                 0.9012,              0.0009704,              0.0009704,              0.0009704
                    132,                 1.3049,                 0.8362,                0.91148,                0.99268,                      1,                  0.995,                 0.6103,                 1.3549,                0.63387,                0.89165,             0.00096248,             0.00096248,             0.00096248
                    133,                 1.2293,                0.76102,                0.91364,                0.99295,                      1,                  0.995,                0.57401,                 1.4577,                 0.6419,                0.91022,             0.00095456,             0.00095456,             0.00095456
                    134,                 1.3243,                0.82034,                0.97165,                0.99458,                      1,                  0.995,                0.54598,                 1.5785,                0.64756,                0.94556,             0.00094664,             0.00094664,             0.00094664
                    135,                 1.2568,                0.79149,                 0.8627,                 0.9951,                      1,                  0.995,                0.53377,                 1.6417,                0.67023,                0.97072,             0.00093872,             0.00093872,             0.00093872
                    136,                 1.4279,                0.85249,                0.93092,                      1,                0.99784,                  0.995,                0.53725,                  1.656,                0.70973,                0.98054,              0.0009308,              0.0009308,              0.0009308
                    137,                 1.5206,                0.77824,                0.90473,                      1,                 0.9873,                  0.995,                0.50719,                 1.7006,                 0.6975,                  0.984,             0.00092288,             0.00092288,             0.00092288
                    138,                 1.3184,                0.77829,                0.93339,                      1,                0.91517,                0.98885,                0.50293,                   1.72,                0.70559,                0.98963,             0.00091496,             0.00091496,             0.00091496
                    139,                 1.3788,                0.76669,                0.94802,                      1,                0.97261,                  0.995,                0.53743,                 1.6886,                0.67237,                0.98222,             0.00090704,             0.00090704,             0.00090704
                    140,                 1.3564,                0.78323,                0.95223,                0.99195,                      1,                  0.995,                0.56802,                 1.6283,                 0.6315,                0.96006,             0.00089912,             0.00089912,             0.00089912
                    141,                 1.4103,                0.75697,                0.90228,                0.99001,                      1,                  0.995,                0.58162,                 1.5432,                0.62281,                0.94005,              0.0008912,              0.0008912,              0.0008912
                    142,                 1.2591,                0.76027,                0.93846,                0.98866,                      1,                  0.995,                0.55368,                 1.5222,                0.62563,                0.92617,             0.00088328,             0.00088328,             0.00088328
